 Iteration,         tX,         tY,         tZ,         rX,         rY,         rZ,    Fitness,         x1,         x2,         x3,         x4,         x5,         x6
         0, 0.6603312, 0.38477712, 0.75243028, 0.22995081, 0.09569958, 0.55763841, 59.8955131, 59.8955131, 59.8955131, 59.8955131, 59.8955131, 59.8955131, 59.8955131
         0, 0.54264068, 0.66426415, 0.3380349, 0.99453423, 0.44377861, 0.61831617, 60.3045725, 60.3045725, 60.3045725, 60.3045725, 60.3045725, 60.3045725, 60.3045725
         0, 0.1095661, 0.44235055, 0.51658546, 0.68469641, 0.58911739, 0.11271319, 60.9311915, 60.9311915, 60.9311915, 60.9311915, 60.9311915, 60.9311915, 60.9311915
         0, 0.68967688, 0.36638427, 0.78543974, 0.29956467, 0.96493394, 0.0876507, 62.3222105, 62.3222105, 62.3222105, 62.3222105, 62.3222105, 62.3222105, 62.3222105
         0, 0.41562434, 0.76260668, 0.6334768, 0.86685464, 0.48418674, 0.01081471, 63.5331366, 63.5331366, 63.5331366, 63.5331366, 63.5331366, 63.5331366, 63.5331366
         0, 0.50408461, 0.25321039, 0.82788687, 0.23978881, 0.94648145, 0.19815584, 64.1874223, 64.1874223, 64.1874223, 64.1874223, 64.1874223, 64.1874223, 64.1874223
         0, 0.28736919, 0.25934075, 0.4025693, 0.90068319, 0.9604451, 0.68913246, 64.3648639, 64.3648639, 64.3648639, 64.3648639, 64.3648639, 64.3648639, 64.3648639
         0, 0.52371368, 0.68927711, 0.24973052, 0.71040732, 0.92803803, 0.30693207, 64.4135330, 64.413533, 64.413533, 64.413533, 64.413533, 64.413533, 64.413533
         0, 0.78510155, 0.28565752, 0.63046573, 0.9617549, 0.27556853, 0.19990307, 66.4999130, 66.499913, 66.499913, 66.499913, 66.499913, 66.499913, 66.499913
         0, 0.27340526, 0.34082437, 0.70385047, 0.75668374, 0.01687012, 0.3750423, 66.7417664, 66.7417664, 66.7417664, 66.7417664, 66.7417664, 66.7417664, 66.7417664
         0, 0.46278603, 0.42109829, 0.89827071, 0.47393251, 0.95492659, 0.40128552, 66.9275395, 66.9275395, 66.9275395, 66.9275395, 66.9275395, 66.9275395, 66.9275395
         0, 0.6673518, 0.27526918, 0.64618251, 0.29092067, 0.45601368, 0.27867206, 68.3538306, 68.3538306, 68.3538306, 68.3538306, 68.3538306, 68.3538306, 68.3538306
         0, 0.25780863, 0.76556528, 0.53343009, 0.48112882, 0.66078112, 0.60147462, 69.7287305, 69.7287305, 69.7287305, 69.7287305, 69.7287305, 69.7287305, 69.7287305
         0, 0.11393463, 0.44979031, 0.42125815, 0.42458871, 0.74709825, 0.35305322, 69.9055582, 69.9055582, 69.9055582, 69.9055582, 69.9055582, 69.9055582, 69.9055582
         0, 0.44602465, 0.34484371, 0.18635392, 0.08801136, 0.01951833, 0.11195722, 70.4988079, 70.4988079, 70.4988079, 70.4988079, 70.4988079, 70.4988079, 70.4988079
         0, 0.11794683, 0.49951865, 0.44725968, 0.00305009, 0.59277713, 0.33226742, 71.9435431, 71.9435431, 71.9435431, 71.9435431, 71.9435431, 71.9435431, 71.9435431
         0, 0.79602101, 0.30549033, 0.49849355, 0.22034918, 0.0640812, 0.74505475, 72.6107912, 72.6107912, 72.6107912, 72.6107912, 72.6107912, 72.6107912, 72.6107912
         0, 0.71563799, 0.6201122, 0.63896883, 0.47093273, 0.6995216, 0.98408691, 72.6672448, 72.6672448, 72.6672448, 72.6672448, 72.6672448, 72.6672448, 72.6672448
         0, 0.56246412, 0.54833759, 0.83441718, 0.1779555, 0.88085464, 0.70053223, 72.6714622, 72.6714622, 72.6714622, 72.6714622, 72.6714622, 72.6714622, 72.6714622
         0, 0.6287992, 0.81027726, 0.36764542, 0.19191814, 0.54051772, 0.63610844, 73.0793223, 73.0793223, 73.0793223, 73.0793223, 73.0793223, 73.0793223, 73.0793223
         0, 0.78428515, 0.65759496, 0.72360992, 0.70525927, 0.17107038, 0.97223962, 73.5650786, 73.5650786, 73.5650786, 73.5650786, 73.5650786, 73.5650786, 73.5650786
         0, 0.39583551, 0.61109765, 0.26756001, 0.34807527, 0.81708157, 0.11326655, 73.6330173, 73.6330173, 73.6330173, 73.6330173, 73.6330173, 73.6330173, 73.6330173
         0, 0.27519131, 0.38219106, 0.79787078, 0.14343089, 0.03749543, 0.10912983, 74.0220008, 74.0220008, 74.0220008, 74.0220008, 74.0220008, 74.0220008, 74.0220008
         0, 0.87986219, 0.41316124, 0.51247312, 0.37962259, 0.06913258, 0.02724554, 74.1299338, 74.1299338, 74.1299338, 74.1299338, 74.1299338, 74.1299338, 74.1299338
         0, 0.14651347, 0.72679506, 0.58955584, 0.93384877, 0.84910497, 0.00540192, 76.1498937, 76.1498937, 76.1498937, 76.1498937, 76.1498937, 76.1498937, 76.1498937
         0, 0.64202107, 0.82413923, 0.61394812, 0.83446833, 0.08601012, 0.24724218, 77.4724533, 77.4724533, 77.4724533, 77.4724533, 77.4724533, 77.4724533, 77.4724533
         0, 0.76460821, 0.64723993, 0.81156556, 0.64807427, 0.31912043, 0.57647777, 77.9178684, 77.9178684, 77.9178684, 77.9178684, 77.9178684, 77.9178684, 77.9178684
         0, 0.62570902, 0.12668882, 0.57821103, 0.42460365, 0.61318747, 0.85872515, 78.4468545, 78.4468545, 78.4468545, 78.4468545, 78.4468545, 78.4468545, 78.4468545
         0, 0.73418229, 0.35095925, 0.73987116, 0.55640888, 0.95287099, 0.43849278, 79.6231850, 79.623185, 79.623185, 79.623185, 79.623185, 79.623185, 79.623185
         0, 0.1869915, 0.24722968, 0.57798362, 0.73781137, 0.90622177, 0.97359966, 80.1908310, 80.190831, 80.190831, 80.190831, 80.190831, 80.190831, 80.190831
         0, 0.80162316, 0.37047457, 0.60239656, 0.82193382, 0.73889442, 0.79840257, 80.4617803, 80.4617803, 80.4617803, 80.4617803, 80.4617803, 80.4617803, 80.4617803
         0, 0.10623118, 0.31343146, 0.34337545, 0.91459187, 0.87794173, 0.27417541, 80.5902795, 80.5902795, 80.5902795, 80.5902795, 80.5902795, 80.5902795, 80.5902795
